"id","match_num","team","rst","side","gtime","gold","tot_dam","kill","death","assist","tower","inhibitor","herald","dragon","elder","baron","sight","total_cs","set"
1068,"17452",BRO,Defeat,Red Side,"19:05",28982,23463,4,19,5,0,0,0,1,0,0,17,583,1
1069,"17452",BRO,Defeat,Blue Side,"19:54",29452,31313,4,22,7,0,0,0,0,0,0,24,573,2
1070,"17452",T1,Victory,Red Side,"19:54",46550,46322,22,4,32,10,2,2,1,0,0,21,782,2
1071,"17453",HLE,Defeat,Blue Side,"43:04",72938,99433,15,25,39,4,0,1,4,0,0,70,1286,1
1072,"17453",GEN,Victory,Red Side,"43:04",82946,107565,25,15,45,10,1,1,3,1,2,63,1376,1
1073,"17454",LSB,Defeat,Blue Side,"29:32",47181,34851,5,19,9,2,0,2,1,0,0,57,994,1
1074,"17454",KT,Victory,Red Side,"29:32",62534,60229,19,5,43,10,1,0,3,0,1,37,1169,1
1075,"17454",LSB,Defeat,Blue Side,"34:28",60173,61172,12,18,29,5,0,2,2,0,0,68,1150,2
1076,"17454",KT,Victory,Red Side,"34:28",68234,84721,18,12,41,9,1,0,3,0,1,48,1284,2
1077,"17455",DK,Victory,Blue Side,"41:43",76069,97843,21,8,45,11,5,2,4,0,2,68,1176,1
1078,"17455",NS,Defeat,Red Side,"41:43",67193,64103,8,21,18,4,0,0,1,0,0,76,1295,1
1079,"17456",KDF,Defeat,Blue Side,"36:19",57179,53718,11,14,21,3,0,0,4,0,0,55,1128,1
1080,"17456",T1,Victory,Red Side,"36:19",68918,72974,14,11,32,10,2,1,1,1,1,54,1159,1
1081,"17456",KDF,Victory,Blue Side,"31:00",57875,63558,20,8,46,7,1,1,3,0,1,52,983,2
1082,"17456",T1,Defeat,Red Side,"31:00",51753,56771,8,20,19,2,0,1,1,0,0,40,1002,2
1083,"17456",KDF,Defeat,Blue Side,"30:07",47405,44071,12,21,23,1,0,0,0,0,0,48,847,3
1084,"17456",T1,Victory,Red Side,"30:07",61598,79272,21,12,36,11,3,2,4,0,1,42,1027,3
1085,"17457",BRO,Victory,Blue Side,"28:37",59774,65034,23,4,48,9,1,1,3,0,1,55,1001,1
1086,"17457",LSB,Defeat,Red Side,"28:37",41422,37898,4,23,10,1,0,1,1,0,0,39,861,1
1087,"17457",LSB,Defeat,Blue Side,"31:04",47967,48400,7,15,23,2,0,1,2,0,0,51,948,2
1088,"17457",BRO,Victory,Red Side,"31:04",55811,57267,15,7,40,8,1,1,2,0,0,46,1010,2
1089,"17458",HLE,Defeat,Blue Side,"31:57",49897,46120,3,17,6,2,0,1,1,0,0,36,1039,1
1090,"17458",KT,Victory,Red Side,"31:57",63493,66386,17,3,39,10,2,1,4,0,2,51,1104,1
1091,"17458",KT,Victory,Blue Side,"33:05",64605,63725,18,9,50,10,2,1,3,0,2,57,1098,2
1092,"17458",HLE,Defeat,Red Side,"33:05",56448,62767,9,18,19,2,0,1,2,0,0,47,1103,2
1093,"17459",DK,Defeat,Blue Side,"41:37",69531,58412,7,17,14,4,0,2,2,0,1,70,1386,1
1094,"17459",GEN,Victory,Red Side,"41:37",80232,91750,17,7,40,10,3,0,5,1,2,67,1427,1
1095,"17459",DK,Victory,Blue Side,"36:16",66414,85291,18,7,43,10,1,1,5,1,1,54,1062,2
1096,"17459",GEN,Defeat,Red Side,"36:16",59141,58151,7,18,14,5,0,1,1,0,1,56,1085,2
1097,"17459",GEN,Victory,Blue Side,"42:19",76746,93319,16,10,29,10,1,1,5,1,1,55,1306,3
1098,"17459",DK,Defeat,Red Side,"42:19",64975,61045,10,16,16,3,0,1,2,0,0,74,1252,3
1099,"17460",NS,Defeat,Blue Side,"33:39",55036,57012,11,18,27,1,0,0,0,0,0,60,1051,1
1100,"17460",DRX,Victory,Red Side,"33:39",65485,64551,18,11,42,8,1,2,4,0,1,65,1179,1
